time_from_event_s,filtered_strain
-0.28061533,-2.140935384156e-22
-0.27988291,-1.565323643329e-22
-0.27915049,-1.071803613796e-22
-0.27841806,-5.173805886920e-23
-0.27768564,3.846410780470e-23
-0.27695322,1.461562803916e-22
-0.27597666,1.877949217292e-22
-0.27524424,8.395433350755e-23
-0.27451181,-6.600194872403e-23
-0.27377939,-1.381872285969e-22
-0.27304697,-7.765510452077e-23
-0.27231455,4.875540558401e-23
-0.27158213,1.267479945247e-22
-0.2708497,1.086982662165e-22
-0.27011728,4.643185165444e-23
-0.26938486,1.972447789914e-23
-0.26865244,4.596993751292e-23
-0.26792002,6.697393742571e-23
-0.2671876,2.026607978098e-23
-0.26645517,-8.440510689610e-23
-0.26547861,-1.722505623236e-22
-0.26474619,-1.214486847922e-22
-0.26401377,-7.124658642524e-24
-0.26328135,8.201501189714e-23
-0.26254892,9.483655018329e-23
-0.2618165,5.238850020315e-23
-0.26108408,5.270409066298e-24
-0.26035166,-2.282435739078e-23
-0.25961924,-4.118980799029e-23
-0.25888681,-5.941905976196e-23
-0.25815439,-6.784394389356e-23
-0.25742197,-5.209319923199e-23
-0.25668955,-1.556245433277e-23
-0.25571299,2.994051011479e-23
-0.25498056,4.062357870339e-23
-0.25424814,3.159437321785e-23
-0.25351572,1.316277837345e-23
-0.2527833,-6.261419490675e-24
-0.25205088,-1.896343339305e-23
-0.25131845,-1.087078549648e-23
-0.25058603,3.052775395885e-23
-0.24985361,9.316278577253e-23
-0.24912119,1.345465511030e-22
-0.24838877,1.174072633069e-22
-0.24765635,5.227829528756e-23
-0.24692392,-1.247648266043e-23
-0.2461915,-4.586982231404e-23
-0.24521494,-6.880038225452e-23
-0.24448252,-9.250758128278e-23
-0.2437501,-9.650499819149e-23
-0.24301767,-5.247757937838e-23
-0.24228525,1.633928870516e-23
-0.24155283,4.605557014032e-23
-0.24082041,1.323072531768e-24
-0.24008799,-7.881160158294e-23
-0.23935556,-1.143084530456e-22
-0.23862314,-6.309293908232e-23
-0.23789072,3.706305567492e-23
-0.2371583,1.050694259890e-22
-0.23642588,9.403734384014e-23
-0.23569345,3.006764838498e-23
-0.23471689,-3.764073554966e-23
-0.23398447,-5.022667712566e-23
-0.23325205,-5.563350122779e-23
-0.23251963,-6.448009481260e-23
-0.2317872,-5.037540806360e-23
-0.23105478,1.349738377215e-23
-0.23032236,1.068545112632e-22
-0.22958994,1.648953807165e-22
-0.22885752,1.358140983976e-22
-0.2281251,3.841992818195e-23
-0.22739267,-4.394303427065e-23
-0.22666025,-3.807468005324e-23
-0.22592783,4.579292511217e-23
-0.22495127,1.242190521056e-22
-0.22421885,6.828133690614e-23
-0.22348642,-5.420260448081e-23
-0.222754,-1.492381215306e-22
-0.22202158,-1.552445805591e-22
-0.22128916,-9.172649960466e-23
-0.22055674,-2.969023410397e-23
-0.21982431,-2.381589191170e-23
-0.21909189,-6.870309676242e-23
-0.21835947,-1.078906567972e-22
-0.21762705,-8.641646724879e-23
-0.21689463,-6.162434813102e-24
-0.2161622,7.110473008440e-23
-0.21542978,8.513591633339e-23
-0.21445322,2.743067792602e-23
-0.2137208,1.670918588476e-23
-0.21298838,7.513763500991e-23
-0.21225595,1.568663178371e-22
-0.21152353,1.843815129363e-22
-0.21079111,1.232588307559e-22
-0.21005869,1.039174315031e-23
-0.20932627,-8.253173343935e-23
-0.20859385,-1.086548943370e-22
-0.20786142,-7.694068586236e-23
-0.207129,-3.461253266719e-23
-0.20639658,-1.958330659226e-23
-0.20566416,-2.936895092706e-23
-0.2046876,-4.031790344813e-23
-0.20395517,-4.708188499028e-23
-0.20322275,-7.808729189138e-23
-0.20249033,-1.283988087126e-22
-0.20175791,-1.445472274893e-22
-0.20102549,-7.313310763710e-23
-0.20029306,7.100914160138e-23
-0.19956064,1.990437551618e-22
-0.19882822,2.216795640921e-22
-0.1980958,1.323031460502e-22
-0.19736338,1.485071967814e-23
-0.19663095,-3.359533723281e-23
-0.19589853,8.713118881192e-24
-0.19516611,7.328650109351e-23
-0.19418955,5.451033421960e-23
-0.19345713,-4.358898974402e-23
-0.1927247,-1.376340264245e-22
-0.19199228,-1.641736707026e-22
-0.19125986,-1.171117529733e-22
-0.19052744,-3.462449500470e-23
-0.18979502,4.127596192307e-23
-0.1890626,8.700091948393e-23
-0.18833017,9.809776987275e-23
-0.18759775,8.349759959633e-23
-0.18686533,5.599641109582e-23
-0.18613291,2.098776326764e-23
-0.18540049,-2.397084523219e-23
-0.18466806,-7.284946650248e-23
-0.1836915,-9.950033079502e-23
-0.18295908,-6.255822513312e-23
-0.18222666,7.034605193365e-24
-0.18149424,6.181529302417e-23
-0.18076181,6.105270664777e-23
-0.18002939,3.610153309846e-24
-0.17929697,-7.139304036832e-23
-0.17856455,-1.149370758772e-22
-0.17783213,-1.047986269784e-22
-0.1770997,-5.885678154291e-23
-0.17636728,-9.741347893582e-24
-0.17563486,3.341179299099e-23
-0.17490244,8.752929495131e-23
-0.17392588,1.759711633033e-22
-0.17319345,2.015299198677e-22
-0.17246103,1.517372656153e-22
-0.17172861,4.754600567134e-23
-0.17099619,-5.270346773804e-23
-0.17026377,-1.069152050543e-22
-0.16953135,-1.129078671076e-22
-0.16879892,-8.741059804984e-23
-0.1680665,-4.346168565011e-23
-0.16733408,4.490675077984e-24
-0.16660166,3.090478265531e-23
-0.16586924,1.298489737267e-23
-0.16513681,-4.304006283728e-23
-0.16440439,-9.405377858451e-23
-0.16342783,-6.801708548164e-23
-0.16269541,2.551855684946e-23
-0.16196299,1.105601046436e-22
-0.16123056,1.080648474245e-22
-0.16049814,8.590006231019e-24
-0.15976572,-1.072311330248e-22
-0.1590333,-1.399172078868e-22
-0.15830088,-6.360844604978e-23
-0.15756845,5.572464613595e-23
-0.15683603,1.282177338630e-22
-0.15610361,1.155300124990e-22
-0.15537119,4.449512216758e-23
-0.15463877,-2.977373849238e-23
-0.15390635,-6.451830380634e-23
-0.15292978,-3.622903528811e-23
-0.15219736,1.317300278574e-23
-0.15146494,5.562112413825e-23
-0.15073252,7.331004558492e-23
-0.1500001,5.886869930621e-23
-0.14926767,1.546076438408e-23
-0.14853525,-3.635522070753e-23
-0.14780283,-6.411123995105e-23
-0.14707041,-5.154991438318e-23
-0.14633799,-1.958051277599e-23
-0.14560556,-6.835246463260e-24
-0.14487314,-2.462413272711e-23
-0.14414072,-4.067510707750e-23
-0.14316416,-1.363493768904e-25
-0.14243174,5.699610534046e-23
-0.14169931,7.409651337111e-23
-0.14096689,1.557260777105e-23
-0.14023447,-8.580857116162e-23
-0.13950205,-1.448132254132e-22
-0.13876963,-9.645082926281e-23
-0.1380372,3.455347839042e-23
-0.13730478,1.405514888258e-22
-0.13657236,1.269454576490e-22
-0.13583994,1.118669439642e-23
-0.13510752,-8.383623351834e-23
-0.1343751,-4.789763568663e-23
-0.13364267,1.014801664952e-22
-0.13266611,2.389373095892e-22
-0.13193369,1.592252900659e-22
-0.13120127,-2.485627639319e-23
-0.13046885,-1.624102989286e-22
-0.12973642,-1.629077912253e-22
-0.129004,-8.092272443944e-23
-0.12827158,-4.340020071467e-23
-0.12753916,-1.040857254196e-22
-0.12680674,-1.888537499966e-22
-0.12607431,-1.849810855019e-22
-0.12534189,-6.400831830038e-23
-0.12460947,9.639892652307e-23
-0.12387705,1.967285095643e-22
-0.12290049,1.881997147239e-22
-0.12216806,1.314862394734e-22
-0.12143564,8.447620024454e-23
-0.12070322,4.917657068942e-23
-0.1199708,3.242994275796e-24
-0.11923838,-5.176068426992e-23
-0.11850595,-7.757481971602e-23
-0.11777353,-4.885361030651e-23
-0.11704111,-6.293625628664e-24
-0.11630869,-2.984291467931e-23
-0.11557627,-1.433836310204e-22
-0.11484385,-2.621531561576e-22
-0.11411142,-2.605770597849e-22
-0.113379,-9.883276661112e-23
-0.11240244,1.935937002044e-22
-0.11167002,2.959982698552e-22
-0.1109376,2.625618783556e-22
-0.11020517,1.857952404500e-22
-0.10947275,1.658222685335e-22
-0.10874033,2.018042614978e-22
-0.10800791,1.949670540387e-22
-0.10727549,6.238156110708e-23
-0.10654306,-1.574337995631e-22
-0.10581064,-3.262791386004e-22
-0.10507822,-3.399659994075e-22
-0.1043458,-2.306188015001e-22
-0.10361338,-1.258478129688e-22
-0.10288095,-1.120591238408e-22
-0.10190439,-1.608607729618e-22
-0.10117197,-1.201078586615e-22
-0.10043955,1.701449686272e-23
-0.09970713,1.716748437245e-22
-0.0989747,2.443545060492e-22
-0.09824228,2.051422069693e-22
-0.09750986,1.125067766080e-22
-0.09677744,5.007447645401e-23
-0.09604502,4.761087994895e-23
-0.0953126,6.577409888141e-23
-0.09458017,5.568043942722e-23
-0.09384775,1.861379511586e-23
-0.09311533,-4.280141948571e-24
-0.09213877,1.542823197261e-23
-0.09140635,2.228358461129e-23
-0.09067392,-1.919233236071e-23
-0.0899415,-9.157083597778e-23
-0.08920908,-1.344784660449e-22
-0.08847666,-9.946469335543e-23
-0.08774424,2.594596399697e-24
-0.08701181,1.022701167766e-22
-0.08627939,1.235743953777e-22
-0.08554697,4.657538040982e-23
-0.08481455,-7.522425050054e-23
-0.08408213,-1.611545016708e-22
-0.0833497,-1.686123097431e-22
-0.08261728,-1.148400679705e-22
-0.08164072,-2.674171715293e-23
-0.0809083,1.137276607781e-23
-0.08017588,1.967730032096e-23
-0.07944345,1.013776664708e-23
-0.07871103,4.344755089464e-24
-0.07797861,2.202326230409e-23
-0.07724619,6.212261040812e-23
-0.07651377,1.010934282819e-22
-0.07578135,1.167808567062e-22
-0.07504892,1.106580564740e-22
-0.0743165,1.013791815339e-22
-0.07358408,9.899950471923e-23
-0.07285166,9.349865262056e-23
-0.07211924,6.957200505029e-23
-0.07114267,1.398414047684e-23
-0.07041025,-1.549318691582e-23
-0.06967783,-1.693186784287e-23
-0.06894541,-1.082262069954e-23
-0.06821299,-3.998660415165e-23
-0.06748056,-1.235562694368e-22
-0.06674814,-2.254742749997e-22
-0.06601572,-2.801884662428e-22
-0.0652833,-2.530055732746e-22
-0.06455088,-1.686644113109e-22
-0.06381845,-8.180775760099e-23
-0.06308603,-2.666926739313e-23
-0.06235361,3.727769830116e-24
-0.06137705,5.220821216585e-23
-0.06064463,1.083641892233e-22
-0.0599122,1.623859947366e-22
-0.05917978,1.889795591947e-22
-0.05844736,1.825218383298e-22
-0.05771494,1.607106209607e-22
-0.05698252,1.429178966897e-22
-0.0562501,1.302209147836e-22
-0.05551767,1.118129929584e-22
-0.05478525,8.669000740313e-23
-0.05405283,6.521284197534e-23
-0.05332041,4.636594819678e-23
-0.05258799,8.745234996943e-24
-0.05185556,-6.463498072974e-23
-0.050879,-1.856380054697e-22
-0.05014658,-2.362295065856e-22
-0.04941416,-2.176188262199e-22
-0.04868174,-1.363895744477e-22
-0.04794931,-3.142316925129e-23
-0.04721689,4.605709291214e-23
-0.04648447,6.277664790458e-23
-0.04575205,2.429727632569e-23
-0.04501963,-3.442376573510e-23
-0.0442872,-8.168589309506e-23
-0.04355478,-1.119603798409e-22
-0.04282236,-1.368755035268e-22
-0.04208994,-1.611068417083e-22
-0.04111338,-1.679799545835e-22
-0.04038095,-1.239042091557e-22
-0.03964853,-2.371558524690e-23
-0.03891611,1.141595888039e-22
-0.03818369,2.417487616232e-22
-0.03745127,3.114359154099e-22
-0.03671885,3.143755613424e-22
-0.03598642,2.836246904373e-22
-0.035254,2.577652142533e-22
-0.03452158,2.483723115170e-22
-0.03378916,2.386394356598e-22
-0.03305674,2.009312584051e-22
-0.03232431,1.143699904315e-22
-0.03159189,-2.006583089045e-23
-0.03061533,-2.132829712980e-22
-0.02988291,-3.047211241408e-22
-0.02915049,-3.280699390993e-22
-0.02841806,-3.094947843661e-22
-0.02768564,-2.876410154375e-22
-0.02695322,-2.770218465100e-22
-0.0262208,-2.635907846136e-22
-0.02548838,-2.298507857559e-22
-0.02475595,-1.753182059768e-22
-0.02402353,-1.131455963578e-22
-0.02329111,-5.207520054013e-23
-0.02255869,1.521490534279e-23
-0.02182627,1.011613919438e-22
-0.02109385,1.990949906835e-22
-0.02011728,2.912054759341e-22
-0.01938486,2.978178191161e-22
-0.01865244,2.689579172594e-22
-0.01792002,2.458594577409e-22
-0.0171876,2.424446895219e-22
-0.01645517,2.313926322474e-22
-0.01572275,1.845522819906e-22
-0.01499033,1.159702916405e-22
-0.01425791,6.954969192366e-23
-0.01352549,6.381757739184e-23
-0.01279306,6.225879484731e-23
-0.01206064,6.213984752739e-24
-0.01132822,-1.233065650229e-22
-0.01035166,-3.219890197968e-22
-0.00961924,-3.963594473799e-22
-0.00888681,-3.813888827189e-22
-0.00815439,-3.193046329137e-22
-0.00742197,-2.633379132437e-22
-0.00668955,-2.324364440256e-22
-0.00595713,-2.158176937742e-22
-0.0052247,-2.013880855182e-22
-0.00449228,-1.790432666607e-22
-0.00375986,-1.269720922432e-22
-0.00302744,-2.341853779810e-23
-0.00229502,1.198134907432e-22
-0.0015626,2.577143089565e-22
-0.00083017,3.639661424553e-22
0.00014639,5.057132160282e-22
0.00087881,6.448088426915e-22
0.00161123,7.512453170470e-22
0.00234365,7.173987939732e-22
0.00307608,4.974086528785e-22
0.0038085,1.643969251677e-22
0.00454092,-1.489945860745e-22
0.00527334,-3.610808116120e-22
0.00600576,-4.900954829048e-22
0.00673819,-6.000025610895e-22
0.00747061,-7.066487011039e-22
0.00820303,-7.476559405243e-22
0.00893545,-6.523941369958e-22
0.00966787,-4.376283613294e-22
0.01064444,-1.598492418787e-22
0.01137686,-6.505972486183e-23
0.01210928,-9.266397177002e-24
0.0128417,1.400956830472e-22
0.01357412,4.333803159821e-22
0.01430655,7.574705793658e-22
0.01503897,9.126669120205e-22
0.01577139,7.770177293352e-22
0.01650381,4.057598170490e-22
0.01723623,-2.020273991391e-23
0.01796865,-3.429637165775e-22
0.01870108,-5.259690392666e-22
0.0194335,-6.065494827329e-22
0.02041006,-5.205101276045e-22
0.02114248,-1.978284096230e-22
0.0218749,3.282909114673e-22
0.02260733,8.013249179896e-22
0.02333975,8.737038485453e-22
0.02407217,4.161353034778e-22
0.02480459,-2.989253816948e-22
0.02553701,-7.656975374284e-22
0.02626944,-6.601009746762e-22
0.02700186,-1.271824211774e-22
0.02773428,3.462082464442e-22
0.0284667,3.730912731878e-22
0.02919912,3.621062641021e-24
0.02993155,-3.701108978856e-22
0.03090811,-3.731187785528e-22
0.03164053,-1.272610990880e-22
0.03237295,1.116052150573e-23
0.03310537,-5.417945882434e-23
0.0338378,-1.500771348453e-22
0.03457022,-7.046027282700e-23
0.03530264,1.777249430355e-22
0.03603506,3.864758589396e-22
0.03676748,3.786138393044e-22
0.0374999,1.939167927367e-22
0.03823233,3.452400493117e-23
0.03896475,4.309956051997e-23
0.03969717,1.601084141827e-22
0.04067373,1.908491537617e-22
0.04140615,5.063316829111e-23
0.04213858,-9.468909197972e-23
0.042871,-1.194380478445e-22
0.04360342,-5.014153812283e-23
0.04433584,-2.331520961948e-23
0.04506826,-1.187417051917e-22
0.04580069,-2.670839414909e-22
0.04653311,-3.263275345989e-22
